Portfolio_Manager,Year,Month,PF/EPFO_Clients,Corporates_Clients,Non-Corporates_Clients,Non-Residents_Clients,FPI_Clients,Others_Clients,Total_Clients,PF/EPFO_AUM,Corporates_AUM,Non-Corporates_AUM,Non-Residents_AUM,FPI_AUM,Others_AUM,Total_AUM
1729 ADVISORS LLP,2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729 ADVISORS LLP,2024,4,0,3,23,0,0,0,26,0,7.99,34.8,0,0,0,42.78
1729 ADVISORS LLP,2024,7,0,4,58,1,0,0,63,0,10.39319,104.92731,0.57767,0,0,115.89817
1729 ADVISORS LLP,2024,10,0,8,70,1,0,0,79,0,179.69242,163.81103,0.65908,0,0,344.16253
2POINT2 CAPITAL ADVISORS LLP,2022,1,0,49,482,32,0,0,563,0,116.52,493.72,64.19,0,0,674.42
2POINT2 CAPITAL ADVISORS LLP,2022,4,0,48,490,36,0,0,574,0,113.8,478.38,67.29,0,0,659.47
2POINT2 CAPITAL ADVISORS LLP,2022,7,0,49,492,39,0,0,580,0,120.26,475.45,71.44,0,0,667.15
2POINT2 CAPITAL ADVISORS LLP,2022,10,0,49,484,38,0,0,571,0,130.33,493.82,77.06,0,0,701.21
2POINT2 CAPITAL ADVISORS LLP,2023,1,0,49,482,39,0,0,570,0,132.55,507.75,77.26,0,0,717.56
2POINT2 CAPITAL ADVISORS LLP,2023,4,0,49,491,41,0,0,581,0,132.18,536.13,80.59,0,0,748.89
2POINT2 CAPITAL ADVISORS LLP,2023,7,0,49,498,44,0,0,591,0,169.29,707.15,112.07,0,0,988.51
2POINT2 CAPITAL ADVISORS LLP,2023,10,0,58,541,44,0,0,643,0,210.43,786.27,116.82,0,0,1113.52
2POINT2 CAPITAL ADVISORS LLP,2024,1,0,61,568,46,0,0,675,0,227.81,891.75,112.08,0,0,1231.64
2POINT2 CAPITAL ADVISORS LLP,2024,4,0,66,596,47,0,0,709,0,250.89,929.26,118.33,0,0,1298.48
2POINT2 CAPITAL ADVISORS LLP,2024,7,0,71,608,51,0,0,730,0,279.53,975.23,134.76,0,0,1389.52
2POINT2 CAPITAL ADVISORS LLP,2024,10,0,67,612,53,0,0,732,0,241.91,1002.83,134.38,0,0,1379.12
360 ONE ALTERNATES ASSET MANAGEMENT LIMITED,2024,4,0,37,45,1,0,0,83,0,183.89,55.04,2.01,0,0,240.94
360 ONE ALTERNATES ASSET MANAGEMENT LIMITED,2024,7,0,51,70,2,0,0,123,0,273.95,97.88,2.65,0,0,374.48
360 ONE ALTERNATES ASSET MANAGEMENT LIMITED,2024,10,0,59,81,2,0,1,143,0,340.84,219.43,3.04,0,22.22,585.54
360 ONE ASSET MANAGEMENT LIMITED,2022,1,0,421,6567,406,5,0,7399,0,878.45,4311.19,297.48,13312.59,0,18799.71
360 ONE ASSET MANAGEMENT LIMITED,2022,4,0,445,6739,439,5,0,7628,0,950.05,4213.94,292.73,12608.68,0,18065.41
360 ONE ASSET MANAGEMENT LIMITED,2022,7,0,457,6927,458,5,0,7847,0,961.94,4258.38,298.04,12542.49,0,18060.84
360 ONE ASSET MANAGEMENT LIMITED,2022,10,0,478,7134,482,6,0,8099,0,967.69,4414.21,298.36,13250.24,0,14851.5
360 ONE ASSET MANAGEMENT LIMITED,2023,1,0,464,6754,461,6,0,7685,0,896.93,4144.34,276.32,13632.62,0,18950.2
360 ONE ASSET MANAGEMENT LIMITED,2023,4,0,448,6628,444,6,0,7526,0,795.36,4005.93,273.4,14121.05,0,19195.74
360 ONE ASSET MANAGEMENT LIMITED,2023,7,0,435,6465,429,6,0,7335,0,732.16,4220.36,300.16,16067.93,0,21320.62
360 ONE ASSET MANAGEMENT LIMITED,2023,10,0,422,6212,451,6,0,7091,0,696.27,4037.74,300.41,15942.35,0,20976.76
360 ONE ASSET MANAGEMENT LIMITED,2024,1,0,415,6133,455,6,0,7009,0,788.46,4469.07,340.11,17999.12,0,23596.76
360 ONE ASSET MANAGEMENT LIMITED,2024,4,0,415,5765,463,6,0,6649,0,850.37,4689.78,368.66,19564.8,0,25473.6
360 ONE ASSET MANAGEMENT LIMITED,2024,7,0,420,5844,475,7,0,6746,0,1258.55,5388,434.91,24912.34,0,31993.8
360 ONE ASSET MANAGEMENT LIMITED,2024,10,0,406,5712,498,7,0,6623,0,1232.65,5145.93,428.91,24569.21,0,31376.69
360 ONE PORTFOLIO MANAGERS LIMITED,2022,1,0,307,1305,80,0,0,1692,0,7003.25,15416.07,539.21,0,0,22958.54
360 ONE PORTFOLIO MANAGERS LIMITED,2022,4,0,326,1338,91,0,0,1755,0,7738.57,15455.97,523.28,0,0,23717.82
360 ONE PORTFOLIO MANAGERS LIMITED,2022,7,0,337,1354,94,0,0,1785,0,7528.95,16283.87,594.16,0,0,24406.99
360 ONE PORTFOLIO MANAGERS LIMITED,2022,10,0,1029,4101,276,0,0,5406,0,22637.01,49156.29,1869.75,0,0,73663.02
360 ONE PORTFOLIO MANAGERS LIMITED,2023,1,0,357,1367,94,0,0,1818,0,8282.96,16474.41,684,0,0,25441.38
360 ONE PORTFOLIO MANAGERS LIMITED,2023,4,0,384,1412,96,0,0,1892,0,8741.65,16539.8,781.06,0,0,26062.51
360 ONE PORTFOLIO MANAGERS LIMITED,2023,7,0,391,1396,103,0,0,1890,0,9489.42,16645.13,779.54,0,0,26914.08
360 ONE PORTFOLIO MANAGERS LIMITED,2023,10,0,391,1384,106,0,0,1881,0,9332.76,16660.21,900.4,0,0,26893.38
360 ONE PORTFOLIO MANAGERS LIMITED,2024,1,0,394,1387,108,0,0,1889,0,10141.27,18253.47,1035.46,0,0,29430.2
360 ONE PORTFOLIO MANAGERS LIMITED,2024,4,0,399,1404,111,0,0,1914,0,10328.97,19453.97,1092.5,0,0,30875.44
360 ONE PORTFOLIO MANAGERS LIMITED,2024,7,0,409,1457,110,0,0,1976,0,10898.67,20085.16,1263.08,0,0,32246.91
360 ONE PORTFOLIO MANAGERS LIMITED,2024,10,0,425,1510,117,0,0,2052,0,11105.24,20651.28,1348.08,0,0,33104.6
4A SECURITIES,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A SECURITIES,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A SECURITIES,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A SECURITIES,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A SECURITIES,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A SECURITIES,2023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A C CHOKSI SHARE BROKERS PRIVATE LIMITED,2022,1,0,2,52,3,0,0,57,0,1.59,55.36,6.19,0,0,63.14
A C CHOKSI SHARE BROKERS PRIVATE LIMITED,2022,4,0,2,55,3,0,0,60,0,1.46,53.22,5.85,0,0,60.54
